,text,favourite_count,retweet_count,created_at
136,RT @tplohetski: BREAKING: Austin health officials say the city has now crossed into Stage 5 risk for COVID-19 spread.,0,2821,2021-08-02 23:59:35
137,"RT @SethAbramson: BUSINESS INSIDER: Senator Ron Johnson (R-WI) Would Support Vaccine Mandate for An ""Incredibly Deadly"" Virus—But Not COVID…",0,514,2021-08-02 23:59:35
138,"Sen. Lindsey Graham may have exposed multiple senators to COVID-19 on Joe Manchin's DC houseboat. Sen. Mark Kelly, an Arizona Democrat, and Sen. Jacky Rosen, a Nevada Democrat, also attended the gathering and came into contact with Graham.  https://t.co/HIi8tOKTXP via @Yahoo",2,1,2021-08-02 23:59:34
139,RT @ChristinaPushaw: This is COVID-19 misinformation @TwitterSafety. The Executive Office of the Governor of Florida has *never* handled in…,0,46,2021-08-02 23:59:34
140,"RT @joshrogin: New congressional report says covid-19 likely emerged in Wuhan in SEPTEMBER 2019, not December https://t.co/0ZDnggrIBv by me…",0,632,2021-08-02 23:59:34
141,#BREAKING: Queensland records 16 new local cases of COVID-19 all linked to Indooroopilly cluster.,1,0,2021-08-02 23:59:34
142,"RT @proverbialcat: @TheRickyDavila Word is that although ""proof"" of vaccination or negative Covid-19 test were required to get in, there we…",0,1,2021-08-02 23:59:34
143,You know if you wouldn’t act like a dick 90% -scratch that- 100% of the time people wouldn’t announce that you have COVID-19,1,0,2021-08-02 23:59:34
144,"RT @Reuters_Health: Thailand will increase the number of people required to isolate at home with COVID-19 to 100,000, health officials said…",0,5,2021-08-02 23:59:34
145,"RT @CNNPolitics: Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the ""mark of the beast"" https://t.co/1RO8O4PyBA",0,390,2021-08-02 23:59:34
146,"RT @CoryBMorgan: Until COVID-19 presents as much risk to kids under 12 as playground monkey bars do (&amp; it doesn't), quit using kids under 1…",0,41,2021-08-02 23:59:34
147,"RT @JeremeBender: We have a delta variant of covid 19 so let's just keep the boarders open for all the variants of covid 19 can get in!!

W…",0,43,2021-08-02 23:59:33
148,"RT @Hannah_Bananaz: And that province is Alberta.

‘Canada finally has a province willing to stand against the madness of endless lockdowns…",0,145,2021-08-02 23:59:33
